iter	Passed	Remaining
0	182	18077
1	209	10264
2	234	7578
3	257	6185
4	280	5329
5	302	4736
6	323	4294
7	342	3933
8	360	3643
9	377	3400
10	398	3222
11	424	3113
12	444	2976
13	463	2849
14	484	2748
15	504	2647
16	523	2557
17	542	2469
18	564	2406
19	583	2332
20	602	2265
21	621	2203
22	645	2162
23	663	2102
24	681	2044
25	701	1997
26	721	1951
27	741	1907
28	763	1868
29	781	1824
30	800	1782
31	820	1743
32	846	1717
33	866	1681
34	886	1646
35	903	1606
36	927	1579
37	949	1548
38	967	1512
39	987	1481
40	1008	1451
41	1027	1418
42	1048	1389
43	1079	1373
44	1101	1345
45	1121	1316
46	1142	1288
47	1164	1261
48	1183	1232
49	1201	1201
50	1221	1173
51	1235	1140
52	1258	1115
53	1279	1089
54	1301	1064
55	1323	1040
56	1344	1014
57	1358	983
58	1374	955
59	1394	929
60	1412	903
61	1433	878
62	1454	854
63	1476	830
64	1496	805
65	1509	777
66	1527	752
67	1535	722
68	1558	700
69	1580	677
70	1598	653
71	1619	629
72	1639	606
73	1657	582
74	1675	558
75	1691	534
76	1710	510
77	1730	488
78	1764	469
79	1790	447
80	1808	424
81	1827	401
82	1845	377
83	1864	355
84	1880	331
85	1893	308
86	1910	285
87	1928	262
88	1943	240
89	1960	217
90	1976	195
91	1992	173
92	2007	151
93	2025	129
94	2045	107
95	2059	85
96	2081	64
97	2103	42
98	2126	21
99	2144	0
